vol_band,rank_in_band,game_id,title,year,n_active,users_rated_active,users_rated_pop_scrape,raw_active_mean,adj_mean_g,expected_quality_g,residual,residual_cv,SE,post_SD,residual_lb_95,residual_lb_95_post,adj_lb_95,categories,mechanics,weight,playing_time
1k-2.5k,4,2251,Strat-O-Matic Baseball,1962,1074,1279.000000,1279.000000,7.678332,7.917198,6.489838,1.427360,1.448573,0.036436,0.036403,1.355946,1.356009,7.845783,"[""Sports""]","[""Dice Rolling"", ""Simulation"", ""Solo / Solitaire Game""]",2.390900,45.000000
1k-2.5k,5,295564,Unmatched Game System,2019,2194,3056.000000,3056.000000,8.189474,8.527518,7.317372,1.210145,1.197096,0.025492,0.025481,1.160180,1.160202,8.477553,"[""Card Game"", ""Fantasy"", ""Fighting""]","[""Action Points"", ""Card Play Conflict Resolution"", ""Hand Management"", ""Line of Sight"", ""Movement Points"", ""Point to Point Movement"", ""Team-Based Game"", ""Variable Player Powers""]",1.933300,40.000000
1k-2.5k,6,23540,Shikoku 1889,2004,2196,2733.000000,2733.000000,7.976111,8.710357,7.561726,1.148631,1.159328,0.025481,0.025470,1.098688,1.098710,8.660415,"[""Economic"", ""Trains"", ""Transportation""]","[""Auction / Bidding"", ""Hexagon Grid"", ""Market"", ""Network and Route Building"", ""Ownership"", ""Stock Holding"", ""Tile Placement"", ""Victory Points as a Resource""]",3.820500,240.000000
1k-2.5k,7,225482,Seas of Strife,2015,1743,2632.000000,2632.000000,7.308291,7.880068,6.738692,1.141375,1.142031,0.028601,0.028585,1.085317,1.085348,7.824010,"[""American West"", ""Card Game"", ""Nautical""]","[""Hand Management"", ""Trick-taking""]",1.309100,45.000000
1k-2.5k,8,171905,Orléans: Deluxe Edition,2015,1666,1725.000000,1725.000000,8.342732,8.695189,7.556297,1.138892,1.148582,0.029254,0.029238,1.081553,1.081586,8.637850,"[""Medieval"", ""Religious"", ""Travel""]","[""Deck, Bag, and Pool Building"", ""Open Drafting"", ""Point to Point Movement""]",3.078900,90.000000
1k-2.5k,9,157820,Escape: The Curse of the Temple – Big Box,2014,1654,1726.000000,1726.000000,7.512040,7.695134,6.574603,1.120531,1.130489,0.029360,0.029343,1.062985,1.063018,7.637588,"[""Adventure"", ""Dice"", ""Exploration"", ""Real-time""]","[""Cooperative Game"", ""Dice Rolling"", ""Grid Movement"", ""Modular Board"", ""Push Your Luck"", ""Real-Time"", ""Roll / Spin and Move"", ""Tile Placement""]",1.529400,10.000000
1k-2.5k,10,294693,Nokosu Dice,2016,1222,2263.000000,2263.000000,7.587088,8.259715,7.152451,1.107264,1.112718,0.034158,0.034131,1.040314,1.040367,8.192766,"[""Card Game"", ""Dice""]","[""Auction / Bidding"", ""Dice Rolling"", ""Hand Management"", ""Open Drafting"", ""Predictive Bid"", ""Trick-taking""]",2.069800,60.000000
2.5k-5k,1,36553,Time's Up! Title Recall!,2008,3629,3787.000000,3787.000000,7.669094,8.027216,6.097983,1.929233,1.975834,0.019821,0.019816,1.890383,1.890393,7.988366,"[""Humor"", ""Movies / TV / Radio theme"", ""Party Game""]","[""Acting"", ""Communication Limits"", ""Memory"", ""Team-Based Game""]",1.189500,60.000000
2.5k-5k,2,153016,Telestrations: 12 Player Party Pack,2011,3141,3505.000000,3505.000000,7.722530,7.964558,6.505124,1.459433,1.496536,0.021306,0.021299,1.417674,1.417687,7.922798,"[""Humor"", ""Party Game"", ""Real-time""]","[""Drawing"", ""Line Drawing"", ""Paper-and-Pencil""]",1.057700,30.000000
2.5k-5k,3,16747,Tumblin' Dice,2004,4787,5252.000000,5252.000000,7.238555,7.622098,6.515124,1.106974,1.092918,0.017258,0.017255,1.073147,1.073154,7.588271,"[""Action / Dexterity"", ""Dice"", ""Party Game""]","[""Dice Rolling"", ""Flicking""]",1.049200,45.000000
