game_id,title,primary_type,exposure_band,share_band,n_band,mean_adj_band,mean_p_band,adj_diff_vs_global
302990,Funkoverse Strategy Game: DC Comics 102,Other,ALL,1.0,100,7.451244579549369,0.6917226464175751,0.0
302991,Funkoverse Strategy Game: Back to the Future 100,Other,ALL,1.0,144,7.288003363653996,0.6511269875968663,0.0
303006,Harry Potter: House Cup Competition,Other,ALL,1.0,612,6.848271797024114,0.619869683754986,0.0
303036,Funkoverse Strategy Game: Jaws 100,Other,ALL,1.0,159,7.229845207021462,0.6508261857969561,0.0
303051,Godzilla: Tokyo Clash,Other,ALL,1.0,1484,7.199003401927228,0.593075018284108,0.0
303053,Last Defense!,Coop,0-4,0.0567901234567901,22,,,
303053,Last Defense!,Coop,5-19,0.3135802469135803,127,,,
303053,Last Defense!,Coop,ge20,0.6296296296296297,255,,,
303057,Pan Am,Economic,0-4,0.0634423048216151,424,,,
303057,Pan Am,Economic,5-19,0.2458575906851769,1647,,,
303057,Pan Am,Economic,ge20,0.690700104493208,4627,,,
303159,Deep Vents,Other,ALL,1.0,479,6.595869889717625,0.714884234881132,0.0
303263,Pingyao: First Chinese Banks,Economic,0-4,0.0206896551724137,2,,,
303263,Pingyao: First Chinese Banks,Economic,5-19,0.096551724137931,13,,,
303263,Pingyao: First Chinese Banks,Economic,ge20,0.8827586206896552,128,,,
303418,Unlock!: The Escape Room Game – In Pursuit of the Iron Mask,Coop,0-4,0.0196721311475409,5,,,
303418,Unlock!: The Escape Room Game – In Pursuit of the Iron Mask,Coop,5-19,0.081967213114754,24,,,
303418,Unlock!: The Escape Room Game – In Pursuit of the Iron Mask,Coop,ge20,0.898360655737705,274,,,
303551,Polis,Wargame,0-4,0.1447963800904977,127,,,
303551,Polis,Wargame,5-19,0.3846153846153846,339,,,
303551,Polis,Wargame,ge20,0.4705882352941176,415,,,
303553,Skulls of Sedlec,Other,ALL,1.0,2872,7.632502171519617,0.5378980638292746,0.0
303554,Winter Kingdom,Other,ALL,1.0,851,7.793140122598329,0.7715278305651407,0.0
303621,Tiny Acrobats,Other,ALL,1.0,200,6.941825785609368,0.5587968517262376,0.0
303635,Rat Attack Party,Other,ALL,1.0,107,6.894058574545859,0.6057120883675688,0.0
303648,Disney Hocus Pocus: The Game,Coop,0-4,0.0756756756756756,41,,,
303648,Disney Hocus Pocus: The Game,Coop,5-19,0.3567567567567568,198,,,
303648,Disney Hocus Pocus: The Game,Coop,ge20,0.5675675675675675,315,,,
303650,Disney Jungle Cruise Adventure Game,Other,ALL,1.0,525,5.6191771301418125,0.4992829722215775,0.0
303669,Magic Rabbit,Party,0-4,0.0858725761772853,30,,,
303669,Magic Rabbit,Party,5-19,0.2409972299168975,87,,,
303669,Magic Rabbit,Party,ge20,0.6731301939058172,243,,,
303672,Trek 12: Himalaya,Party,0-4,0.1462765957446808,384,,,
303672,Trek 12: Himalaya,Party,5-19,0.2997720364741641,789,,,
303672,Trek 12: Himalaya,Party,ge20,0.5539513677811551,1458,,,
303676,Oh My Brain,Other,ALL,1.0,456,7.1140731558046255,0.5994432379019506,0.0
303731,Primal: The Awakening,Coop,0-4,0.029440628066732,29,,,
303731,Primal: The Awakening,Coop,5-19,0.2512266928361138,255,,,
303731,Primal: The Awakening,Coop,ge20,0.719332679097154,733,,,
303733,Space Lunch,Other,ALL,1.0,321,6.330441368018429,0.5668863491588515,0.0
303734,Golems,Other,ALL,1.0,333,6.476914981052799,0.6518927201235625,0.0
303830,Mass Transit,Coop,0-4,0.0652173913043478,17,,,
303830,Mass Transit,Coop,5-19,0.2210144927536232,61,,,
303830,Mass Transit,Coop,ge20,0.7137681159420289,197,,,
303954,Pax Viking,Economic,0-4,0.0194585448392555,23,,,
303954,Pax Viking,Economic,5-19,0.1260575296108291,149,,,
303954,Pax Viking,Economic,ge20,0.8544839255499154,1010,,,
303961,La Spedizione Perduta,Coop,0-4,0.0849056603773584,8,,,
303961,La Spedizione Perduta,Coop,5-19,0.3490566037735849,37,,,
303961,La Spedizione Perduta,Coop,ge20,0.5660377358490566,60,,,
303981,Munchkin Critical Role,Other,ALL,1.0,201,6.634704326832857,0.3987215714855162,0.0
304051,Creature Comforts,Other,ALL,1.0,5414,7.651280612525246,0.6269767688598759,0.0
312786,Poetry for Neanderthals,Party,0-4,0.1047203490678302,263,,,
312786,Poetry for Neanderthals,Party,5-19,0.4081713605712019,1029,,,
312786,Poetry for Neanderthals,Party,ge20,0.4871082903609678,1227,,,
312804,Pendulum,Economic,0-4,0.0562229697260932,116,,,
312804,Pendulum,Economic,5-19,0.2407496395963479,501,,,
312804,Pendulum,Economic,ge20,0.7030273906775588,1463,,,
312859,Townsfolk Tussle,Coop,0-4,0.0433884297520661,62,,,
312859,Townsfolk Tussle,Coop,5-19,0.2665289256198347,387,,,
312859,Townsfolk Tussle,Coop,ge20,0.6900826446280992,1002,,,
312959,Rallyman: DIRT,Other,ALL,1.0,905,7.70386384055047,0.6341911845154609,0.0
312968,Pitch&Plakks,Other,ALL,1.0,111,6.370127518875935,0.5511827511904385,0.0
313000,Sumatra,Other,ALL,1.0,324,7.096520415030397,0.7381453707471124,0.0
313002,1944: Battle of the Bulge,Wargame,0-4,0.0410958904109589,6,,,
313002,1944: Battle of the Bulge,Wargame,5-19,0.1438356164383561,20,,,
313002,1944: Battle of the Bulge,Wargame,ge20,0.815068493150685,119,,,
313008,Apollo: A Game Inspired by NASA Moon Missions,Coop,0-4,0.1158432708688245,67,,,
313008,Apollo: A Game Inspired by NASA Moon Missions,Coop,5-19,0.2862010221465076,167,,,
313008,Apollo: A Game Inspired by NASA Moon Missions,Coop,ge20,0.5979557069846678,351,,,
313065,Transmissions,Other,ALL,1.0,965,7.531630477827472,0.6543759991652875,0.0
313073,Salerno '43,Wargame,0-4,0.0133928571428571,5,,,
313073,Salerno '43,Wargame,5-19,0.1674107142857142,74,,,
313073,Salerno '43,Wargame,ge20,0.8191964285714286,367,,,
313090,Luzon Rails,Economic,0-4,0.0132450331125827,1,,,
313090,Luzon Rails,Economic,5-19,0.0529801324503311,7,,,
313090,Luzon Rails,Economic,ge20,0.933774834437086,140,,,
313093,Four Humours,Other,ALL,1.0,440,7.234147345448531,0.6804274071256711,0.0
313121,Sorry!,Other,ALL,1.0,294,4.823657893398245,0.3633822936287439,0.0
313129,18MS: The Railroads Come to Mississippi,18XX,0-4,0.2362459546925566,72,,,
313129,18MS: The Railroads Come to Mississippi,18XX,5-19,0.4368932038834951,135,,,
313129,18MS: The Railroads Come to Mississippi,18XX,ge20,0.3268608414239482,101,,,
