game_id,n_obs,n_ref_raters,ref_penetration,hiddenness_bucket,hidden_bucket
161530,579,577,0.0020673001132178,eligible_<1700,eligible_<1700
161782,224,223,0.0007989738739126,eligible_<1700,eligible_<1700
161921,141,141,0.0005051807902317,eligible_<1700,eligible_<1700
161923,127,127,0.0004550209954569,eligible_<1700,eligible_<1700
161926,623,622,0.0022285280249939,eligible_<1700,eligible_<1700
163482,116,113,0.0004048612006821,eligible_<1700,eligible_<1700
163602,8929,8901,0.0318908809493099,exclude_>2500,exclude_>2500
163641,763,760,0.0027229602877739,eligible_<1700,eligible_<1700
163685,229,227,0.0008133052438482,eligible_<1700,eligible_<1700
163771,112,109,0.0003905298307465,eligible_<1700,eligible_<1700
163805,1965,1963,0.0070331197959212,borderline_1700-2500,borderline_1700-2500
163839,3871,3866,0.0138512690428078,exclude_>2500,exclude_>2500
163841,751,744,0.0026656348080313,eligible_<1700,eligible_<1700
163920,1753,1752,0.0062771400318156,borderline_1700-2500,borderline_1700-2500
163976,814,812,0.0029092680969373,eligible_<1700,eligible_<1700
167292,849,837,0.0029988391590352,eligible_<1700,eligible_<1700
167298,855,852,0.0030525817962939,eligible_<1700,eligible_<1700
167355,29914,29914,0.1071771500637746,exclude_>2500,exclude_>2500
169984,111,111,0.0003976955157143,eligible_<1700,eligible_<1700
170042,24519,24519,0.0878477148630637,exclude_>2500,exclude_>2500
170146,532,528,0.001891740831506,eligible_<1700,eligible_<1700
169426,20925,20892,0.0748527451739111,exclude_>2500,exclude_>2500
169436,295,293,0.0010497728477865,eligible_<1700,eligible_<1700
169464,715,711,0.0025474010060621,eligible_<1700,eligible_<1700
169475,304,301,0.0010784355876578,eligible_<1700,eligible_<1700
169558,216,214,0.0007667282915573,eligible_<1700,eligible_<1700
169611,1851,1842,0.0065995958553678,borderline_1700-2500,borderline_1700-2500
169649,1081,1078,0.0038623041976582,eligible_<1700,eligible_<1700
169675,319,315,0.0011285953824326,eligible_<1700,eligible_<1700
171668,14831,14800,0.0530260687619129,exclude_>2500,exclude_>2500
171721,145,140,0.0005015979477478,eligible_<1700,eligible_<1700
171726,1141,1138,0.004077274746693,eligible_<1700,eligible_<1700
171775,164,164,0.0005875861673617,eligible_<1700,eligible_<1700
171879,2668,2667,0.009555440904596,exclude_>2500,exclude_>2500
171890,1970,1960,0.0070223712684695,borderline_1700-2500,borderline_1700-2500
171950,172,171,0.0006126660647491,eligible_<1700,eligible_<1700
171978,244,243,0.0008706307235908,eligible_<1700,eligible_<1700
172033,210,205,0.0007344827092021,eligible_<1700,eligible_<1700
172035,136,134,0.0004801008928443,eligible_<1700,eligible_<1700
172047,3951,3932,0.014087736646746,exclude_>2500,exclude_>2500
172158,277,275,0.000985281683076,eligible_<1700,eligible_<1700
172162,245,245,0.0008777964085586,eligible_<1700,eligible_<1700
172206,238,238,0.0008527165111713,eligible_<1700,eligible_<1700
172220,1880,1850,0.0066282585952391,borderline_1700-2500,borderline_1700-2500
175324,7943,7925,0.0283940266850108,exclude_>2500,exclude_>2500
175360,711,681,0.0024399157315447,eligible_<1700,eligible_<1700
175621,4772,4753,0.0170292503260386,exclude_>2500,exclude_>2500
175634,242,240,0.0008598821961391,eligible_<1700,eligible_<1700
175636,329,329,0.0011787551772073,eligible_<1700,eligible_<1700
175707,133,129,0.0004621866804247,eligible_<1700,eligible_<1700
175739,300,295,0.0010569385327543,eligible_<1700,eligible_<1700
175755,953,949,0.0034001175172334,eligible_<1700,eligible_<1700
176013,159,154,0.0005517577425226,eligible_<1700,eligible_<1700
176165,5696,5686,0.0203720423635295,exclude_>2500,exclude_>2500
176193,139,138,0.0004944322627799,eligible_<1700,eligible_<1700
176334,1020,1018,0.0036473336486234,eligible_<1700,eligible_<1700
180977,131,129,0.0004621866804247,eligible_<1700,eligible_<1700
181192,279,272,0.0009745331556243,eligible_<1700,eligible_<1700
181260,1259,1256,0.0045000501597947,eligible_<1700,eligible_<1700
181268,170,167,0.0005983346948134,eligible_<1700,eligible_<1700
181345,4109,4085,0.0146359115467847,exclude_>2500,exclude_>2500
181385,320,314,0.0011250125399486,eligible_<1700,eligible_<1700
181464,164,160,0.000573254797426,eligible_<1700,eligible_<1700
181524,2773,2749,0.0098492339882769,exclude_>2500,exclude_>2500
181530,6058,6040,0.0216403686028347,exclude_>2500,exclude_>2500
181616,132,131,0.0004693523653926,eligible_<1700,eligible_<1700
183315,683,661,0.0023682588818665,eligible_<1700,eligible_<1700
183360,115,109,0.0003905298307465,eligible_<1700,eligible_<1700
183441,184,181,0.0006484944895882,eligible_<1700,eligible_<1700
183508,133,126,0.000451438152973,eligible_<1700,eligible_<1700
183521,307,300,0.0010748527451739,eligible_<1700,eligible_<1700
183571,3495,3460,0.0123966349943391,exclude_>2500,exclude_>2500
183643,286,286,0.0010246929503991,eligible_<1700,eligible_<1700
183839,100,100,0.0003582842483913,eligible_<1700,eligible_<1700
183896,1311,1294,0.0046361981741834,eligible_<1700,eligible_<1700
184117,176,175,0.0006269974346847,eligible_<1700,eligible_<1700
192296,229,228,0.0008168880863321,eligible_<1700,eligible_<1700
192343,1552,1551,0.0055569886925491,eligible_<1700,eligible_<1700
192349,335,334,0.0011966693896269,eligible_<1700,eligible_<1700
192351,904,899,0.0032209753930378,eligible_<1700,eligible_<1700
192508,331,327,0.0011715894922395,eligible_<1700,eligible_<1700
192623,175,173,0.0006198317497169,eligible_<1700,eligible_<1700
192638,1513,1504,0.0053885950958052,eligible_<1700,eligible_<1700
192663,164,161,0.0005768376399099,eligible_<1700,eligible_<1700
192701,488,483,0.0017305129197299,eligible_<1700,eligible_<1700
192802,1155,1146,0.0041059374865643,eligible_<1700,eligible_<1700
192830,509,505,0.001809335454376,eligible_<1700,eligible_<1700
192834,1343,1338,0.0047938432434756,eligible_<1700,eligible_<1700
192836,4248,4246,0.0152127491866947,exclude_>2500,exclude_>2500
193042,7771,7765,0.0278207718875847,exclude_>2500,exclude_>2500
193121,135,135,0.0004836837353282,eligible_<1700,eligible_<1700
193122,290,288,0.0010318586353669,eligible_<1700,eligible_<1700
193295,311,302,0.0010820184301417,eligible_<1700,eligible_<1700
193417,150,150,0.0005374263725869,eligible_<1700,eligible_<1700
193428,610,601,0.0021532883328317,eligible_<1700,eligible_<1700
193486,365,360,0.0012898232942086,eligible_<1700,eligible_<1700
193488,103,102,0.0003654499333591,eligible_<1700,eligible_<1700
193512,453,453,0.0016230276452126,eligible_<1700,eligible_<1700
193584,106,105,0.0003761984608108,eligible_<1700,eligible_<1700
193693,361,359,0.0012862404517247,eligible_<1700,eligible_<1700
193715,187,182,0.0006520773320721,eligible_<1700,eligible_<1700
193728,1072,1038,0.0037189904983017,eligible_<1700,eligible_<1700
193737,1860,1845,0.0066103443828195,borderline_1700-2500,borderline_1700-2500
196354,765,765,0.0027408745001934,eligible_<1700,eligible_<1700
197061,322,318,0.0011393439098843,eligible_<1700,eligible_<1700
197067,142,142,0.0005087636327156,eligible_<1700,eligible_<1700
197072,559,556,0.0019920604210556,eligible_<1700,eligible_<1700
197076,114,91,0.000326038666036,eligible_<1700,eligible_<1700
197178,843,838,0.0030024220015191,eligible_<1700,eligible_<1700
198190,1337,1331,0.0047687633460882,eligible_<1700,eligible_<1700
198522,891,881,0.0031564842283273,eligible_<1700,eligible_<1700
198525,2993,2983,0.0106876191295125,exclude_>2500,exclude_>2500
198630,129,121,0.0004335239405534,eligible_<1700,eligible_<1700
198740,5033,5016,0.0179715378993077,exclude_>2500,exclude_>2500
199793,1248,1248,0.0044713874199234,eligible_<1700,eligible_<1700
199881,184,184,0.0006592430170399,eligible_<1700,eligible_<1700
199904,845,822,0.0029450965217765,eligible_<1700,eligible_<1700
199907,132,129,0.0004621866804247,eligible_<1700,eligible_<1700
200057,2151,2147,0.0076923628129612,borderline_1700-2500,borderline_1700-2500
200512,216,215,0.0007703111340413,eligible_<1700,eligible_<1700
200934,1054,1052,0.0037691502930765,eligible_<1700,eligible_<1700
200954,3883,3878,0.0138942631526147,exclude_>2500,exclude_>2500
201307,178,177,0.0006341631196526,eligible_<1700,eligible_<1700
201406,1061,1043,0.0037369047107212,eligible_<1700,eligible_<1700
203462,224,223,0.0007989738739126,eligible_<1700,eligible_<1700
203710,106,105,0.0003761984608108,eligible_<1700,eligible_<1700
203800,101,96,0.0003439528784556,eligible_<1700,eligible_<1700
203993,14186,14181,0.0508082892643707,exclude_>2500,exclude_>2500
209778,22019,21958,0.0786720552617624,exclude_>2500,exclude_>2500
209926,121,120,0.0004299410980695,eligible_<1700,eligible_<1700
210040,984,971,0.0034789400518795,eligible_<1700,eligible_<1700
210065,200,199,0.0007129856542986,eligible_<1700,eligible_<1700
210152,245,244,0.0008742135660747,eligible_<1700,eligible_<1700
210418,244,238,0.0008527165111713,eligible_<1700,eligible_<1700
210663,406,406,0.0014546340484686,eligible_<1700,eligible_<1700
210900,1288,1285,0.0046039525918282,eligible_<1700,eligible_<1700
211047,124,123,0.0004406896255213,eligible_<1700,eligible_<1700
211128,281,277,0.0009924473680439,eligible_<1700,eligible_<1700
211364,962,961,0.0034431116270404,eligible_<1700,eligible_<1700
211454,671,669,0.0023969216217378,eligible_<1700,eligible_<1700
211534,4834,4750,0.0170185017985869,exclude_>2500,exclude_>2500
211808,182,178,0.0006377459621365,eligible_<1700,eligible_<1700
211996,263,260,0.0009315390458173,eligible_<1700,eligible_<1700
212027,494,492,0.0017627585020852,eligible_<1700,eligible_<1700
212370,183,183,0.000655660174556,eligible_<1700,eligible_<1700
212516,2165,2165,0.0077568539776717,borderline_1700-2500,borderline_1700-2500
212956,873,869,0.0031134901185204,eligible_<1700,eligible_<1700
212969,106,106,0.0003797813032947,eligible_<1700,eligible_<1700
213149,381,381,0.0013650629863708,eligible_<1700,eligible_<1700
213370,988,983,0.0035219341616865,eligible_<1700,eligible_<1700
213503,340,338,0.0012110007595626,eligible_<1700,eligible_<1700
214204,370,367,0.001314903191596,eligible_<1700,eligible_<1700
214213,104,103,0.000369032775843,eligible_<1700,eligible_<1700
214224,206,202,0.0007237341817504,eligible_<1700,eligible_<1700
214234,766,727,0.0026047264858047,eligible_<1700,eligible_<1700
214296,220,201,0.0007201513392665,eligible_<1700,eligible_<1700
214343,139,135,0.0004836837353282,eligible_<1700,eligible_<1700
214880,2678,2676,0.0095876864869512,exclude_>2500,exclude_>2500
214988,518,518,0.0018559124066669,eligible_<1700,eligible_<1700
214996,338,291,0.0010426071628186,eligible_<1700,eligible_<1700
215065,202,199,0.0007129856542986,eligible_<1700,eligible_<1700
215066,231,229,0.000820470928816,eligible_<1700,eligible_<1700
207883,158,157,0.0005625062699743,eligible_<1700,eligible_<1700
207898,590,588,0.0021067113805408,eligible_<1700,eligible_<1700
