game_id,n_raters_active,n_obs,raw_mean,adj_mean,mean_delta_pool,selection_residual_mean,selection_z,selection_p,selection_residual_cross_mean,selection_cross_z,share_heavy_500plus,share_heavy_250plus,share_light_10_24,share_deg_broad,share_own,share_want,share_preordered,chi2_volume_band,kl_volume_band,chi2_p,mean_cnt_pool,enthusiasm_vs_own_other,title,year,weight
324242,967,967,6.989938293691831,7.391448162646509,-0.40150986895468915,1.0476854360508728e-14,2.8145102722644115e-13,0.9999999999997755,0.000920968215413336,0.024539742109952,0.3164426059979317,0.592554291623578,0.025853154084798345,0.0062047569803516025,0.5698035160289555,0.001034126163391934,0.001034126163391934,190.06990954326122,0.09867517428223212,,501.05170630816957,-0.09167267181509797,Sheepy Time,2021.0,1.8571
324246,434,434,6.432027649769585,6.652399509510073,-0.22037185974048593,-2.0429126900130184e-15,-3.359041626869336e-14,0.9999999999999731,0.0040765180838380904,0.06603088587811069,0.3225806451612903,0.5576036866359447,0.03917050691244239,0.009216589861751152,0.5506912442396313,0.0,0.0,86.69582644377905,0.08883977741970736,,540.241935483871,-0.7559445917798758,Journey to the Center of the Earth,2020.0,1.7143
324278,218,218,6.940993899082568,7.407901839021838,-0.46690793993926566,-3.138162512724869e-15,-3.829027513554127e-14,0.9999999999999694,-0.011298607644169189,-0.1383606997509192,0.3853211009174312,0.6192660550458716,0.01834862385321101,0.0,0.5596330275229358,0.0,0.0045871559633027525,80.82841812731095,0.16288112570590002,,671.4770642201835,0.003214550768742755,Inkling,2021.0,1.0
324320,274,280,6.864285714285714,7.682582292524465,-0.8182965782387471,-3.4416913763379853e-15,-4.892281412001686e-14,0.9999999999999609,-0.00806296910169353,-0.11398072267355647,0.5321428571428571,0.8214285714285714,0.007142857142857143,0.0,0.41638225255972694,0.006825938566552901,0.0,270.882713181584,0.4722024166779928,,772.2071428571429,0.16794609720839213,Planet etuC,2020.0,2.0
324342,190,190,6.317316842105263,6.294497649965151,0.022819192140111116,1.128921517671475e-15,9.410407673041883e-15,0.9999999999999925,0.014881443707907262,0.12031551968720677,0.11578947368421053,0.28421052631578947,0.09473684210526316,0.005263157894736842,0.6894736842105263,0.0,0.010526315789473684,13.697046644316128,0.037237960486569396,,296.9315789473684,-1.1919950778557127,,,
324344,258,264,7.154166666666667,7.958033691386667,-0.8038670247200033,3.0320863664952194e-15,4.236972650512821e-14,0.9999999999999662,-0.0028809656319876606,-0.040010543543657115,0.5378787878787878,0.8636363636363635,0.0,0.0,0.48014440433212996,0.01444043321299639,0.0,298.6149615509785,0.5549002987187621,,766.7045454545455,0.44039069265069164,Twinkle Starship,2020.0,1.5
324345,910,910,7.028168505494507,7.665652503991131,-0.6374839984966255,-1.80319739603954e-16,-4.228038784672448e-15,0.9999999999999967,-0.004011257897468196,-0.09315970312890831,0.3362637362637363,0.5824175824175825,0.026373626373626374,0.004395604395604396,0.2824175824175824,0.004395604395604396,0.0,182.1291900933308,0.10151937104154672,,497.9098901098901,0.17035792591119814,Cat in the box,2020.0,2.0
324403,53,53,8.206603773584906,8.747614324119859,-0.5410105505349517,-1.1563077539492196e-15,-5.5302379986050826e-15,0.9999999999999956,-0.008981915213539141,-0.041385961890107466,0.24528301886792453,0.41509433962264153,0.09433962264150944,0.0,0.5471698113207547,0.0,0.018867924528301886,9.535382587392924,0.07718203473058119,,372.2830188679245,1.0674342041192042,,,
324413,1643,1643,6.668958837492392,6.767830369454603,-0.09887153196220615,-4.485084786151561e-15,-1.3431670840834408e-13,0.9999999999998928,0.007738860810422213,0.225270894301429,0.1125989044430919,0.2519780888618381,0.14059646987218502,0.007912355447352405,0.6080340839926963,0.0,0.0030432136335970784,348.1663166527954,0.09291982517558744,,236.24710894704808,-0.6057149017393259,,,
324467,384,384,6.348010416666665,6.832638638003526,-0.4846282213368598,7.016956460326185e-16,1.1606966673989255e-14,0.9999999999999907,0.0011167071205729288,0.018218128685991257,0.45572916666666663,0.6848958333333333,0.010416666666666666,0.0026041666666666665,0.5130208333333334,0.0026041666666666665,0.0026041666666666665,206.433029569094,0.24591494851335846,,654.9244791666666,-0.6260161756149487,Hey Yo,2020.0,1.0
