game_id,n_obs,n_ref_raters,ref_penetration,title,resid_Q3bFam,hiddenness_bucket
14736,383,371,0.0013292345615317368,Let's Kill!,-0.38760176080649433,eligible_<1700
14940,245,245,0.0008777964085586942,Figure It,1.3135205320746621,eligible_<1700
17687,130,129,0.0004621866804247818,Bernini Mysterie,-0.9084000567933925,eligible_<1700
17705,308,307,0.0010999326425613024,Faces,0.3732747763200637,eligible_<1700
17710,2979,2921,0.010465482895509982,Conquest of the Empire,-0.7259740537261301,exclude_>2500
17857,269,266,0.0009530361007208679,18Scan,0.19273308638792308,eligible_<1700
17863,133,106,0.00037978130329478196,The Western Front: 1914 to 1918,0.7159798570421234,eligible_<1700
17965,128,123,0.00044068962552130356,The Game of Life: Spongebob Squarepants Edition,-1.1663117292269334,eligible_<1700
17995,137,137,0.0004908494202960861,Anno Domini: Sport,1.1496098012550329,eligible_<1700
18100,4511,4503,0.016133539705060408,China,0.47151586930313893,exclude_>2500
19918,252,247,0.0008849620935265202,No Stress Chess,-0.2821807292948977,eligible_<1700
19948,1828,1823,0.0065315218481734666,Rum & Pirates,0.15798756546297454,borderline_1700-2500
20022,1789,1783,0.006388208148816945,Terra Nova,-0.05369683721844254,borderline_1700-2500
20040,208,206,0.0007380655516860857,Badaboom,-0.5710950068105438,eligible_<1700
20074,199,199,0.0007129856542986944,Railroad Dice 2,0.37425104613860416,eligible_<1700
20077,254,237,0.0008491336686873898,"Kutuzov: The War in Russia, 1812",-0.16208957354890874,eligible_<1700
20079,807,799,0.0028626911446465167,Pacific Typhoon,-0.007424881050332566,eligible_<1700
20081,157,156,0.0005589234274904338,Dschamál,0.32636397315863874,eligible_<1700
20195,699,685,0.0024542471014804305,Six,0.14840428582084542,eligible_<1700
20228,301,300,0.0010748527451739111,Big Kini,0.15948278218761125,eligible_<1700
20281,109,105,0.0003761984608108689,Inkan Aarre,-0.7800524593789495,eligible_<1700
20750,1370,1357,0.004861917250669991,Black Stories 2,0.2865631853030104,eligible_<1700
20782,777,774,0.002773120082548691,Siam,0.31158538488908416,eligible_<1700
20821,177,177,0.0006341631196526076,"Tara, Seat of Kings",0.029164193753571155,eligible_<1700
20829,126,123,0.00044068962552130356,Keesdrow,0.32588644950947554,eligible_<1700
23761,188,149,0.0005338435301030425,Guadalajara,-0.20272639418955762,eligible_<1700
23777,141,140,0.0005015979477478252,Pieces of Eight,-0.2090782281595267,eligible_<1700
23935,493,491,0.0017591756596013013,Oshi,-0.23773559321198245,eligible_<1700
23959,174,162,0.000580420482393912,Piranha Panic,-0.7249208119029111,eligible_<1700
24051,209,209,0.0007488140791378248,Fowl Play!,-0.012827775875826397,eligible_<1700
24118,175,165,0.0005911690098456511,Pictionary Mania,-0.3492957353666535,eligible_<1700
24157,1239,1218,0.00436390214540608,Order of the Stick Adventure Game: The Dungeon of Dorukan,-1.0825080710347805,eligible_<1700
24230,126,126,0.0004514381529730427,Glik,0.30362124657320066,eligible_<1700
24258,115,115,0.00041202688564999926,Pounce!,-0.7322845135842257,eligible_<1700
24270,411,410,0.0014689654184043453,Hoyuk,-0.250619669406821,eligible_<1700
24304,1599,1576,0.005646559754646946,Unspeakable Words,0.05566207044126692,eligible_<1700
24396,1130,1115,0.003994869369563036,War on Terror: The Boardgame,-1.0796324133493247,eligible_<1700
24416,594,590,0.002113877065508692,Santy Anno,0.3075037078056466,eligible_<1700
25554,13440,13426,0.04810324318901644,Notre Dame,0.1949586085077346,exclude_>2500
25568,4327,4323,0.01548862805795606,Metropolys,0.4701820936556089,exclude_>2500
25623,401,397,0.0014223884661134758,Mmm ... Brains!,-0.4012113063682241,eligible_<1700
25677,463,462,0.0016552732275678232,Formidable Foes,-0.49794945926978595,eligible_<1700
25685,1210,1187,0.0042528340284047755,Blackbeard: The Golden Age of Piracy,-1.1620023636230332,eligible_<1700
25738,883,872,0.0031242386459721687,The Big Taboo,-0.3033448530403131,eligible_<1700
25772,118,116,0.0004156097281339123,Astoria,-0.46557905311567893,eligible_<1700
25775,175,159,0.000569671954942173,"Elusive Victory: The Air War over the Suez Canal, 1967-1973",0.2970525298159208,eligible_<1700
25821,11817,11723,0.04200166243891253,The Werewolves of Miller's Hollow,0.07924199473179439,exclude_>2500
25900,335,319,0.001142926752368259,Kingdom of Heaven: The Crusader States 1097-1291,0.46035034021177523,eligible_<1700
25920,145,140,0.0005015979477478252,Do You Worship Cthulhu?,0.07348967672487117,eligible_<1700
28396,1060,1058,0.003790647347979993,It's Alive!,0.12514874919226848,eligible_<1700
28472,102,91,0.0003260386660360864,Scooby-Doo! Haunted House 3D Board Game,-0.6587797662942396,eligible_<1700
28565,102,99,0.00035470140590739067,Save the Treasure of Fairy Tales,0.37410054616868216,eligible_<1700
28705,268,265,0.0009494532582369549,Pizza Box Baseball,0.0790425802648862,eligible_<1700
