game_id,title,flag,n_raters,n_raters_ge20_total,n_raters_ge20_other,penetration_ge20_total,penetration_ge20_other,penetration_ge10_total,penetration_ge10_other,total_enth_ge20,total_enth_ge10,missing_ge20_other,penetration_rank_ge20_other
69601,1880: China,18XX,571,238,221,0.7062314540059347,0.655786350148368,0.432258064516129,0.410752688172043,337,930,116,0.8765432098765432
180204,1857,18XX,131,67,64,0.19881305637982197,0.18991097922848665,0.10967741935483871,0.1053763440860215,337,930,273,0.15432098765432098
196217,18Ireland,18XX,382,182,175,0.5400593471810089,0.5192878338278932,0.32903225806451614,0.3193548387096774,337,930,162,0.7901234567901234
328237,18SJ: Railways in the Frozen North,18XX,131,78,77,0.2314540059347181,0.228486646884273,0.11505376344086021,0.110752688172043,337,930,260,0.2839506172839506
1208,1851: Kentucky & Tennessee,18XX,100,49,48,0.14540059347181009,0.142433234421365,0.07741935483870968,0.07204301075268817,337,930,289,0.04938271604938271
2396,Ur: 1830 BC,18XX,302,75,73,0.22255192878338279,0.2166172106824926,0.13763440860215054,0.13225806451612904,337,930,264,0.22839506172839505
9132,18C2C: Manifest Destiny,18XX,126,74,71,0.2195845697329377,0.21068249258160238,0.10752688172043011,0.10752688172043011,337,930,266,0.19135802469135801
17132,1800: Colorado,18XX,116,44,42,0.13056379821958458,0.12462908011869436,0.07849462365591398,0.07526881720430108,337,930,295,0.037037037037037035
25344,18TN,18XX,116,81,79,0.2403560830860534,0.2344213649851632,0.10967741935483871,0.1086021505376344,337,930,258,0.30864197530864196
38986,18NEB,18XX,190,97,92,0.2878338278931751,0.27299703264094954,0.15806451612903225,0.15161290322580645,337,930,245,0.4444444444444444
238957,18DO: Dortmund,18XX,137,51,50,0.1513353115727003,0.14836795252225518,0.0956989247311828,0.0935483870967742,337,930,287,0.06172839506172839
89,Blue vs. Gray,Wargame,456,415,412,0.02393586342138655,0.023762833083400624,0.010776599384194322,0.010703289184301842,17338,40922,16926,0.7856435643564357
231,Geronimo,Wargame,248,216,213,0.012458184334986735,0.012285153997000807,0.0058403792581007774,0.005718195591613313,17338,40922,17125,0.5868811881188118
240,Britannia,Wargame,4158,2643,2567,0.15243972776560158,0.14805629253662475,0.08435560334294512,0.08159425248032844,17338,40922,14771,0.9811881188118812
243,Advanced Squad Leader,Wargame,3425,2368,2309,0.13657861345022493,0.13317568346983505,0.07384780802502322,0.07194174282781877,17338,40922,15029,0.9772277227722772
252,The Battle of Borodino: Napoleon in Russia 1812,Wargame,168,158,158,0.009112931133925481,0.009112931133925481,0.00403206099408631,0.003983187527491325,17338,40922,17180,0.43836633663366337
987,Kingmaker,Wargame,2900,1941,1892,0.11195062867689468,0.10912446648979121,0.05938126191290748,0.0579639313816529,17338,40922,15446,0.9663366336633663
1014,Fief 2,Wargame,153,94,93,0.0054216172568923755,0.005363940477563733,0.0030545916621865987,0.003030154928889106,17338,40922,17245,0.11955445544554455
1035,Squad Leader,Wargame,3232,2328,2273,0.13427154227707924,0.13109931941400393,0.07030448169688676,0.06891158789892968,17338,40922,15065,0.9762376237623762
1563,Rise and Decline of the Third Reich,Wargame,1923,1494,1459,0.08616910831699158,0.0841504210404891,0.04369287913591711,0.0430575240701823,17338,40922,15879,0.9504950495049505
1570,Sirocco,Wargame,193,134,134,0.007728688430038067,0.007728688430038067,0.004056497727383803,0.003958750794193832,17338,40922,17204,0.35346534653465345
1574,Tactics II,Wargame,819,611,594,0.03524051216980044,0.03426000692121352,0.01759444797419481,0.017154586774839938,17338,40922,16744,0.8574257425742574
1575,Gettysburg,Wargame,349,312,308,0.017995155150536395,0.017764448033221823,0.008332926054445041,0.008259615854552564,17338,40922,17030,0.7150990099009901
