game_id,title,year,n_obs,users_rated,weight,weight_missing,adj_mean,expected_Q3bFam,residual_Q3bFam,expected_Q3b,residual_Q3b,expected_Q4Fam,residual_Q4Fam,SE,lower_bound_adj,lower_bound_resid,vol_band,fam_18XX,fam_Cooperative Game,fam_Legacy Game,rank_residual
340722,Smart10: Family,2021.0,147,217.0,1.0,0.0,7.683915234633063,6.460060859692234,1.2238543749408288,6.450416804861677,1.2334984297713865,6.513975213776762,1.169940020856301,0.09843325088386476,7.490986062900688,1.030925203208454,100-199,0.0,0.0,0.0,81
295564,Unmatched Game System,2019.0,2193,3056.0,1.9333,0.0,8.525293184273332,7.303107817615981,1.2221853666573512,7.307674389031508,1.2176187952418243,7.364271067559979,1.1610221167133528,0.025484797085478215,8.475342981985795,1.172235164369814,1k-2.5k,0.0,0.0,0.0,82
261321,Ascension: Deliverance,2018.0,219,252.0,2.0,0.0,8.067083502131386,6.845732317725648,1.2213511844057372,6.859621333351097,1.207462168780289,6.953882752292991,1.113200749838395,0.08064518423984444,7.909018941021291,1.0632866232956422,200-499,0.0,0.0,0.0,83
184145,Flash Duel: Revised Second Edition,2015.0,156,174.0,1.6667,0.0,7.573229835952584,6.358339060965756,1.214890774986828,6.3617179133184685,1.2115119226341156,6.403797645742397,1.1694321902101867,0.09555165126564223,7.385948599471925,1.0276095385061692,100-199,0.0,0.0,0.0,84
233996,The Primary,2018.0,108,127.0,2.0,0.0,7.967963081890026,6.7552622713025094,1.212700810587516,6.777284363736783,1.1906787181532428,6.735015079720524,1.2329480021695014,0.11483879269784221,7.742879048202255,0.9876167768997454,100-199,0.0,0.0,0.0,85
199723,"UltraQuest: Gold, Ruhm! und Ehre!",2016.0,533,623.0,2.6129,0.0,8.339510883737358,7.128740868618133,1.210770015119225,7.17542481785075,1.1640860658866075,7.179855394990247,1.159655488747111,0.05169361349313691,8.238191401290809,1.1094505326726767,500-999,0.0,0.0,0.0,86
100169,Hero of Weehawken: The Aaron Burr Conspiracy 1805-1807,2011.0,165,176.0,2.1579,0.0,7.796908998662534,6.587550604949261,1.2093583937132735,6.6158287227584704,1.1810802759040637,6.476949592818677,1.319959405843857,0.09290915789079598,7.614807049196574,1.0272564442473133,100-199,0.0,0.0,0.0,87
380707,Vindication: Archive of the Ancients,2023.0,188,286.0,3.0,0.0,8.89431653362219,7.68600505398228,1.2083114796399101,7.724586791894465,1.1697297417277248,7.72591022532667,1.1684063082955198,0.0870405388951028,8.72371707738779,1.0377120234055086,100-199,0.0,0.0,0.0,88
90942,Mixtour,2012.0,159,175.0,2.0,0.0,7.7790354639485635,6.572384113991083,1.2066513499574807,6.577937081609937,1.2010983823386265,6.595204298983122,1.1838311649654418,0.09464592796897318,7.593529445129376,1.0211453311382932,100-199,0.0,0.0,0.0,89
295604,Rangers of Shadow Deep: Standard Edition,2020.0,101,138.0,2.25,0.0,8.62188545250424,7.415741278033154,1.2061441744710848,7.350576808078902,1.2713086444253374,7.40384136661701,1.2180440858872288,0.11875169273608258,8.389132134741518,0.9733908567083629,100-199,0.0,1.0,0.0,90
373835,Unlock! Kids: Stories from the Past,2022.0,252,401.0,1.5,0.0,8.076560191133414,6.870594022327142,1.2059661688062722,6.906283661571367,1.170276529562047,6.957924254783178,1.1186359363502358,0.07517963717931485,7.929208102261956,1.0586140799348152,200-499,0.0,0.0,0.0,91
3365,Gumshoe,1985.0,146,162.0,3.0909,0.0,7.799363660363855,6.593626724914536,1.2057369354493188,6.563710611894473,1.2356530484693815,6.581237088687853,1.2181265716760015,0.09876977580017929,7.605774899795503,1.0121481748809673,100-199,0.0,1.0,0.0,92
394735,Exit: The Game – Advent Calendar: The Missing Hollywood Star,2023.0,339,685.0,1.75,0.0,8.058571903052831,6.85330810418804,1.2052637988647916,6.844780247294045,1.2137916557587864,6.9356798666322135,1.1228920364206179,0.06481874927450283,7.931527154474805,1.0782190502867661,200-499,0.0,1.0,0.0,93
70918,Hanabi & Ikebana,2010.0,639,645.0,1.7627,0.0,7.888394684409236,6.685828994485679,1.2025656899235573,6.624080615339967,1.2643140690692691,6.636393069616281,1.2520016147929551,0.04721174652407152,7.795859661222056,1.110030666736377,500-999,0.0,1.0,0.0,94
208754,Wings of Glory: Tripods & Triplanes,2018.0,102,124.0,2.0,0.0,7.9742112099662315,6.773611987088927,1.2005992228773046,6.785260521337316,1.1889506886289158,6.882461414881174,1.0917497950850574,0.1181681428029229,7.742601650072503,0.9689896629835757,100-199,0.0,0.0,0.0,95
