game_id,title,year,weight,min_players,max_players,families,designers,n_obs,adj_mean,resid_Q3bFam,n_version_tgt,n_contained_tgt,decision,reason,evidence,confidence
4014,Dawn Patrol: Role Playing Game of WW I Air Combat,1982.0,2.3846,2.0,52.0,"[""Country: Austria-Hungary"", ""Country: Belgium"", ""Country: France"", ""Country: Germany"", ""Country: Italy"", ""Country: United Kingdom"", ""Digital Implementations: VASSAL""]","[""Mike Carr""]",328,6.930375067570324,0.4870433832120717,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 6638:Fight in the Skies + families ['Country: Austria-Hungary', 'Country: Belgium']",high
4052,Star Wars: Trading Card Game,2002.0,2.0,2.0,2.0,"[""Admin: Better Description Needed!"", ""Admin: Game System Entries"", ""Collectible: Collectible Card Games"", ""Movies: Star Wars"", ""Players: Two-Player Only Games""]","[""Richard Garfield""]",494,6.063265775030551,0.0263203637618829,0,0,hard_exclude,game_system_container,families Admin: Game System Entries; game_links contained_in target 0.0>0 via [],high
4388,"Rome: Imperium, Circus Maximus, Hannibal vs Rome",2001.0,1.7097,2.0,5.0,"[""Ancient: Carthage"", ""Ancient: Rome"", ""Cities: Rome (Lazio, Italy)"", ""History: Punic Wars"", ""Sports: Chariot Racing""]","[""Reiner Knizia""]",468,6.749674984308605,0.4928220261340996,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 280:Neue Spiele im alten Rom + families ['Ancient: Carthage', 'Ancient: Rome']",high
14996,Ticket to Ride: Europe,2005.0,1.9146,2.0,5.0,"[""Components: Map (Continental / National scale)"", ""Continents: Europe"", ""Country: Belgium"", ""Country: France"", ""Country: Germany"", ""Country: Netherlands"", ""Country: Russia"", ""Country: Spain"", ""Country: United Kingdom"", ""Digital Implementations: Board Game Arena"", ""Game: Ticket to Ride (Official)"", ""Players: Games with expansions that change player count"", ""Theme: Trains""]","[""Alan R. Moon""]",74921,7.656641734624346,0.2937988368466779,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 9209:Ticket to Ride + families ['Components: Map (Continental / National scale)', 'Continents: Europe']",high
128780,Pax Porfiriana,2012.0,3.6436,1.0,6.0,"[""Components: Multi-Use Cards"", ""Country: Mexico"", ""Digital Implementations: Yucata"", ""Historical Figures: Pancho Villa"", ""History: Mexican Revolution"", ""Mechanism: Tableau Building"", ""Organizations: Gamesmiths"", ""Players: Games with Solitaire Rules"", ""Series: Pax""]","[""Phil Eklund"", ""Matt Eklund"", ""Jim Gutt""]",3744,8.22395127840964,0.3983409669417117,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 284:Lords of the Sierra Madre (Second Edition) + families ['Components: Multi-Use Cards', 'Country: Mexico']",high
128882,The Resistance: Avalon,2012.0,1.7397,5.0,10.0,"[""Crowdfunding: Kickstarter"", ""Game: The Resistance"", ""Game: Werewolf / Mafia"", ""Series: Postcard Box Games (Indie Boards and Cards)"", ""Theme: King Arthur / The Knights of the Round Table / Camelot""]","[""Don Eskridge""]",33371,7.752478017366471,0.1931990237756249,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 41114:The Resistance + families ['Crowdfunding: Kickstarter', 'Game: The Resistance']",high
149746,My Little Pony: Collectible Card Game,2013.0,2.7222,2.0,2.0,"[""Admin: Game System Entries"", ""Animals: Horses"", ""Collectible: Collectible Card Games"", ""Creatures: Unicorns"", ""Players: Two-Player Only Games"", ""Toys: My Little Pony""]","[""Darrell Hardy"", ""Amanda Craig""]",280,6.168554129777436,-0.4239727318683437,0,0,hard_exclude,game_system_container,families Admin: Game System Entries; game_links contained_in target 0.0>0 via [],high
268201,Dice Throne,2018.0,2.1529,2.0,6.0,"[""Admin: Game System Entries"", ""Digital Implementations: TableTop Simulator Mod (TTS)"", ""Digital Implementations: Tabletopia"", ""Game: Dice Throne""]","[""Nate Chatellier"", ""Aaron Hein"", ""Manny Trembley""]",2465,7.8958296618837664,0.639904479965633,0,0,hard_exclude,game_system_container,families Admin: Game System Entries; game_links contained_in target 0.0>0 via [],high
274637,"Unmatched: Battle of Legends, Volume One",2019.0,1.9563,2.0,4.0,"[""Books: Alice in Wonderland"", ""Category: Two-Player Fighting Games"", ""Components: Miniatures"", ""Components: Multi-Use Cards"", ""Digital Implementations: Google Play"", ""Game: Unmatched"", ""Misc: Made by Panda"", ""Misc: Watch It Played How To Videos"", ""Mythology: Arabian"", ""Mythology: Greek"", ""Theme: King Arthur / The Knights of the Round Table / Camelot""]","[""Justin D. Jacobson"", ""Rob Daviau""]",9405,7.934288520505939,0.2812007349338774,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 3284:Star Wars: Epic Duels + families ['Books: Alice in Wonderland', 'Category: Two-Player Fighting Games']",high
324856,The Crew: Mission Deep Sea,2021.0,2.0506,2.0,5.0,"[""Digital Implementations: Board Game Arena"", ""Digital Implementations: Tabletopia"", ""Game: The Crew"", ""Mechanism: Artificial Player"", ""Misc: LongPack Games"", ""Theme: Under the Sea""]","[""Thomas Sing""]",19985,8.459943082578489,0.4443881261388291,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 284083:The Crew: The Quest for Planet Nine + families ['Digital Implementations: Board Game Arena', 'Digital Implementations: Tabletopia']",high
