game_id,title,primary_type,variation,prop_adj,delta,ess,max_w,sensitivity
48,Krieg und Frieden,Other,truncated_cap20,6.433351332593404,-0.0115465193812607,659.4310807456466,20.0,stable_under_exposure_adjustment
49,Mamma Mia!,Other,raw_ipw,6.716176313429288,-0.0744378547498536,4710.329060911027,10.714421167036456,stable_under_exposure_adjustment
49,Mamma Mia!,Other,stabilized,6.716176313429289,-0.0744378547498527,4710.329060911026,,stable_under_exposure_adjustment
49,Mamma Mia!,Other,truncated_cap20,6.716176313429288,-0.0744378547498536,4710.329060911027,20.0,stable_under_exposure_adjustment
50,Lost Cities,Other,raw_ipw,7.4018206164568285,-0.0586007774359336,34279.482773473545,13.76778005278601,stable_under_exposure_adjustment
50,Lost Cities,Other,stabilized,7.4018206164568285,-0.0586007774359336,34279.482773473545,,stable_under_exposure_adjustment
50,Lost Cities,Other,truncated_cap20,7.4018206164568285,-0.0586007774359336,34279.482773473545,20.0,stable_under_exposure_adjustment
51,Ricochet Robots,Other,raw_ipw,7.422436781557197,0.0400636310522442,7498.604174443903,7.077999511022087,stable_under_exposure_adjustment
51,Ricochet Robots,Other,stabilized,7.422436781557197,0.0400636310522442,7498.604174443904,,stable_under_exposure_adjustment
51,Ricochet Robots,Other,truncated_cap20,7.422436781557197,0.0400636310522442,7498.604174443903,20.0,stable_under_exposure_adjustment
52,Mighty Empires,Wargame,raw_ipw,6.413158817819298,0.0247396115732954,171.77068342268123,34.14528318910561,moderately_sensitive
52,Mighty Empires,Wargame,stabilized,6.413158817819298,0.0247396115732954,171.7706834226812,,moderately_sensitive
52,Mighty Empires,Wargame,truncated_cap20,6.4160052214964285,0.0275860152504261,194.25086213370489,20.0,moderately_sensitive
54,Tikal,Other,raw_ipw,7.580289894109763,-0.0405152617238746,17264.068245203427,7.0086271869622525,stable_under_exposure_adjustment
54,Tikal,Other,stabilized,7.580289894109764,-0.0405152617238737,17264.068245203427,,stable_under_exposure_adjustment
54,Tikal,Other,truncated_cap20,7.580289894109763,-0.0405152617238746,17264.068245203427,20.0,stable_under_exposure_adjustment
57,Schoko & Co.,Economic,raw_ipw,7.0299475526549084,-0.0025179892628219,392.0318116446143,5.068573328337639,stable_under_exposure_adjustment
57,Schoko & Co.,Economic,stabilized,7.02994755265491,-0.0025179892628202,392.0318116446143,,stable_under_exposure_adjustment
57,Schoko & Co.,Economic,truncated_cap20,7.0299475526549084,-0.0025179892628219,392.0318116446143,20.0,stable_under_exposure_adjustment
58,Kings & Things,Wargame,raw_ipw,6.792268714982712,-0.014343158862303,506.86109528239774,48.834615648468585,moderately_sensitive
58,Kings & Things,Wargame,stabilized,6.792268714982712,-0.014343158862303,506.8610952823978,,moderately_sensitive
58,Kings & Things,Wargame,truncated_cap20,6.7752844667610495,-0.0313274070839657,635.2282724482955,20.0,moderately_sensitive
59,Giganten,Economic,raw_ipw,7.116370687423249,-0.0108892304705898,1282.876176458985,6.133411555982976,stable_under_exposure_adjustment
59,Giganten,Economic,stabilized,7.116370687423247,-0.0108892304705916,1282.8761764589851,,stable_under_exposure_adjustment
59,Giganten,Economic,truncated_cap20,7.116370687423249,-0.0108892304705898,1282.876176458985,20.0,stable_under_exposure_adjustment
60,Vinci,Other,raw_ipw,7.532307517908165,0.0041799556080261,3414.936448945759,6.991052800260028,stable_under_exposure_adjustment
60,Vinci,Other,stabilized,7.532307517908165,0.004179955608027,3414.936448945757,,stable_under_exposure_adjustment
60,Vinci,Other,truncated_cap20,7.532307517908165,0.0041799556080261,3414.936448945759,20.0,stable_under_exposure_adjustment
61,Fossil,Other,raw_ipw,5.722863210975856,-0.0420264102484564,543.5619222046197,8.153705386103539,stable_under_exposure_adjustment
61,Fossil,Other,stabilized,5.722863210975857,-0.0420264102484555,543.5619222046197,,stable_under_exposure_adjustment
61,Fossil,Other,truncated_cap20,5.722863210975856,-0.0420264102484564,543.5619222046197,20.0,stable_under_exposure_adjustment
62,Curse of the Mummy's Tomb,Other,raw_ipw,5.460480534335686,-0.0371799262585197,254.317473491766,7.931181321195783,stable_under_exposure_adjustment
62,Curse of the Mummy's Tomb,Other,stabilized,5.460480534335687,-0.0371799262585188,254.31747349176595,,stable_under_exposure_adjustment
62,Curse of the Mummy's Tomb,Other,truncated_cap20,5.460480534335686,-0.0371799262585197,254.317473491766,20.0,stable_under_exposure_adjustment
63,Samurai: Game of Politics and Warfare in Feudal Japan,Wargame,raw_ipw,6.673294749700928,0.0066442998834324,111.03491294929556,53.06208158219517,strongly_sensitive
63,Samurai: Game of Politics and Warfare in Feudal Japan,Wargame,stabilized,6.673294749700927,0.0066442998834315,111.03491294929556,,strongly_sensitive
63,Samurai: Game of Politics and Warfare in Feudal Japan,Wargame,truncated_cap20,6.656140258641989,-0.0105101911755065,148.87926239925696,20.0,strongly_sensitive
64,Joan of Arc,Wargame,raw_ipw,6.876197274159889,0.2928872799767559,120.28615958546048,47.541469950819405,moderately_sensitive
64,Joan of Arc,Wargame,stabilized,6.876197274159889,0.2928872799767559,120.28615958546048,,moderately_sensitive
64,Joan of Arc,Wargame,truncated_cap20,6.819296682563496,0.2359866883803629,157.7962704989161,20.0,moderately_sensitive
66,Löwenherz,Other,raw_ipw,7.491936331928528,-0.0133562842068331,2340.1884283533805,5.695892316096714,stable_under_exposure_adjustment
66,Löwenherz,Other,stabilized,7.491936331928528,-0.0133562842068331,2340.1884283533795,,stable_under_exposure_adjustment
66,Löwenherz,Other,truncated_cap20,7.491936331928528,-0.0133562842068331,2340.1884283533805,20.0,stable_under_exposure_adjustment
67,Conquest,Wargame,raw_ipw,6.88886676927001,0.2855519615393023,87.73822811566187,42.35808667677749,moderately_sensitive
67,Conquest,Wargame,stabilized,6.888866769270009,0.2855519615393014,87.73822811566188,,moderately_sensitive
67,Conquest,Wargame,truncated_cap20,6.868140209772818,0.2648254020421108,117.68068035671536,20.0,moderately_sensitive
68,Successors: The Battles for Alexander's Empire (First/Second Edition),Wargame,raw_ipw,7.551545511508327,0.0120876604837762,240.83498602562295,15.309608328964469,moderately_sensitive
68,Successors: The Battles for Alexander's Empire (First/Second Edition),Wargame,stabilized,7.551545511508327,0.0120876604837762,240.8349860256229,,moderately_sensitive
68,Successors: The Battles for Alexander's Empire (First/Second Edition),Wargame,truncated_cap20,7.551545511508327,0.0120876604837762,240.83498602562295,20.0,moderately_sensitive
70,Big City,Other,raw_ipw,7.226557040945382,-0.0516680093492931,1977.041355136134,7.958368742405979,stable_under_exposure_adjustment
70,Big City,Other,stabilized,7.226557040945383,-0.0516680093492922,1977.0413551361344,,stable_under_exposure_adjustment
70,Big City,Other,truncated_cap20,7.226557040945382,-0.0516680093492931,1977.041355136134,20.0,stable_under_exposure_adjustment
71,Civilization,Economic,raw_ipw,7.816665605674099,-0.0058556499706146,6450.771731804669,5.931282392657846,stable_under_exposure_adjustment
71,Civilization,Economic,stabilized,7.816665605674101,-0.0058556499706128,6450.771731804668,,stable_under_exposure_adjustment
71,Civilization,Economic,truncated_cap20,7.816665605674099,-0.0058556499706146,6450.771731804669,20.0,stable_under_exposure_adjustment
72,Verräter,Other,raw_ipw,7.087416331822445,-0.0148825710286697,1785.2610180606898,5.4878908613151856,stable_under_exposure_adjustment
72,Verräter,Other,stabilized,7.087416331822446,-0.0148825710286688,1785.2610180606894,,stable_under_exposure_adjustment
72,Verräter,Other,truncated_cap20,7.087416331822445,-0.0148825710286697,1785.2610180606898,20.0,stable_under_exposure_adjustment
73,Show Manager,Other,raw_ipw,7.394116763736664,-0.0590938799870892,1582.80609719725,6.617203702789438,stable_under_exposure_adjustment
73,Show Manager,Other,stabilized,7.394116763736664,-0.0590938799870892,1582.8060971972502,,stable_under_exposure_adjustment
73,Show Manager,Other,truncated_cap20,7.394116763736664,-0.0590938799870892,1582.80609719725,20.0,stable_under_exposure_adjustment
170,Family Business,Other,raw_ipw,6.390162525328174,0.091259185782123,3047.0320339406885,9.76700843770328,stable_under_exposure_adjustment
170,Family Business,Other,stabilized,6.390162525328172,0.0912591857821212,3047.0320339406885,,stable_under_exposure_adjustment
170,Family Business,Other,truncated_cap20,6.390162525328174,0.091259185782123,3047.0320339406885,20.0,stable_under_exposure_adjustment
172,For Sale,Economic,raw_ipw,7.517898833795619,-0.0663688776595785,22539.84301198134,14.456379099807686,stable_under_exposure_adjustment
172,For Sale,Economic,stabilized,7.517898833795619,-0.0663688776595785,22539.84301198134,,stable_under_exposure_adjustment
172,For Sale,Economic,truncated_cap20,7.517898833795619,-0.0663688776595785,22539.84301198134,20.0,stable_under_exposure_adjustment
76,Air Baron,Economic,raw_ipw,6.8216519178842026,0.0386772186106849,589.8994712457684,7.314461976818661,stable_under_exposure_adjustment
76,Air Baron,Economic,stabilized,6.821651917884202,0.038677218610684,589.8994712457685,,stable_under_exposure_adjustment
76,Air Baron,Economic,truncated_cap20,6.8216519178842026,0.0386772186106849,589.8994712457684,20.0,stable_under_exposure_adjustment
77,"EastFront: The War in Russia, 1941-45",Wargame,raw_ipw,8.116824083022937,-0.0174704021464418,342.7927925793449,13.4467402767523,stable_under_exposure_adjustment
77,"EastFront: The War in Russia, 1941-45",Wargame,stabilized,8.116824083022937,-0.0174704021464418,342.79279257934496,,stable_under_exposure_adjustment
77,"EastFront: The War in Russia, 1941-45",Wargame,truncated_cap20,8.116824083022937,-0.0174704021464418,342.7927925793449,20.0,stable_under_exposure_adjustment
78,"WestFront: The War in Europe, 1943-45",Wargame,raw_ipw,7.225706843812297,-0.0571944422852563,100.01161871019168,10.901090730916565,stable_under_exposure_adjustment
78,"WestFront: The War in Europe, 1943-45",Wargame,stabilized,7.225706843812296,-0.0571944422852572,100.01161871019168,,stable_under_exposure_adjustment
78,"WestFront: The War in Europe, 1943-45",Wargame,truncated_cap20,7.225706843812297,-0.0571944422852563,100.01161871019168,20.0,stable_under_exposure_adjustment
79,MedFront: War in North Africa 1940-43,Wargame,raw_ipw,6.679234479113415,0.0441558387633751,59.454359305789154,11.371170160721917,insufficient_overlap
79,MedFront: War in North Africa 1940-43,Wargame,stabilized,6.679234479113415,0.0441558387633751,59.454359305789175,,insufficient_overlap
79,MedFront: War in North Africa 1940-43,Wargame,truncated_cap20,6.679234479113415,0.0441558387633751,59.454359305789154,20.0,insufficient_overlap
82,Bobby Lee: The Civil War in Virginia 1861-1865,Wargame,raw_ipw,7.023380462797501,-0.0910627155732619,205.30279277930572,12.800759333137,stable_under_exposure_adjustment
82,Bobby Lee: The Civil War in Virginia 1861-1865,Wargame,stabilized,7.023380462797501,-0.0910627155732619,205.3027927793057,,stable_under_exposure_adjustment
82,Bobby Lee: The Civil War in Virginia 1861-1865,Wargame,truncated_cap20,7.023380462797501,-0.0910627155732619,205.30279277930572,20.0,stable_under_exposure_adjustment
83,Sam Grant: The Civil War in the West 1862-1864,Wargame,raw_ipw,6.72288958312053,-0.0806624481974438,55.35085153679199,22.6197920008206,insufficient_overlap
83,Sam Grant: The Civil War in the West 1862-1864,Wargame,stabilized,6.722889583120531,-0.0806624481974429,55.35085153679198,,insufficient_overlap
83,Sam Grant: The Civil War in the West 1862-1864,Wargame,truncated_cap20,6.734828378879691,-0.0687236524382823,58.94285693531021,20.0,insufficient_overlap
84,Rommel in the Desert,Wargame,raw_ipw,8.014242504488458,0.0174359988928989,566.0827343210979,16.806154674870925,stable_under_exposure_adjustment
