game_id,title,year,n_obs,users_rated,weight,weight_missing,raw_mean,adj_mean,se_adj,expected_quality,underratedness,underratedness_cv,lower_bound_resid,lower_bound_adj,model_spec,volume_band,volume_band_6,year_band,volume_decile,is_reimplementation,bayes_rating,rank_current,rank_underratedness
165748,Psycho Raiders,2014.0,197,222.0,2.8182,0.0,7.899492385786802,8.273367651575443,0.08502906094124024,6.7892100584290915,1.4841575931463513,1.4690354893360293,1.3175006337015205,8.106710692130612,Q3b,100-199,100-199,2010s,D4,False,5.69165,6545.0,42
141067,History Maker Baseball,2013.0,207,268.0,2.2,0.0,8.184299516908213,8.227778046143344,0.08294979615761722,6.745426754711271,1.4823512914320727,1.4733851496968864,1.319769690963143,8.065196445674415,Q3b,200-499,200-499,2010s,D4,False,5.72677,5867.0,43
401168,nana: Christmas Edition,2022.0,100,205.0,1.0,0.0,7.5729,8.160131243453613,0.1193439741795195,6.682690265526878,1.4774409779267348,1.4738266723833569,1.2435267885348766,7.9262170540617545,Q3b,100-199,100-199,2020s,D1,False,5.65562,7394.0,44
76728,Freeze,2010.0,104,106.0,1.1111,0.0,7.041346153846154,7.454884039408617,0.11702639484059296,5.980487449677012,1.4743965897316045,1.4804209645167212,1.2450248558440422,7.225512305521055,Q3b,100-199,100-199,2010s,D1,False,5.56768,11650.0,45
1770,Aliens,1989.0,713,785.0,2.2254,0.0,7.217324137447407,7.414531079579258,0.04469466957584476,5.948684305251163,1.465846774328095,1.4732375317600281,1.3782452219594392,7.326929527210602,Q3b,500-999,500-999,1980s,D7,True,5.89504,3944.0,46
237009,Urbino,2017.0,207,256.0,2.1111,0.0,7.95536231884058,8.44228573901027,0.08294979615761722,6.9769438515647675,1.4653418874455024,1.460180981319029,1.3027602869765726,8.27970413854134,Q3b,200-499,200-499,2010s,D4,False,5.73937,5646.0,47
4642,Sports Illustrated Baseball,1972.0,177,222.0,1.963,0.0,7.101694915254237,7.35102716713283,0.089704424158108,5.891422972018148,1.4596041951146823,1.4262274953727285,1.2837835237647905,7.1752064957829385,Q3b,100-199,100-199,1970s,D3,False,5.6227,8461.0,48
301480,Binho Classic,2019.0,112,237.0,1.0,0.0,7.887946428571429,8.022526904294581,0.11276945576897227,6.563977376587216,1.4585495277073655,1.463098423086965,1.2375213944001797,7.801498770987396,Q3b,100-199,100-199,2010s,D1,False,5.69607,6445.0,49
265754,Exceed: Street Fighter – M. Bison Box,2019.0,134,145.0,2.3333,0.0,8.178606940298506,8.573574810096195,0.103097491077084,7.115865093037531,1.4577097170586644,1.4593077748621024,1.2556386345475796,8.371503727585111,Q3b,100-199,100-199,2010s,D2,False,5.64843,7612.0,50
12071,Second Season Pro Football Game,1999.0,132,183.0,2.7857,0.0,8.06151515151515,8.079682206743014,0.1038755963880404,6.6233457929358135,1.4563364138072004,1.462817041973624,1.2527402448866412,7.876086037822454,Q3b,100-199,100-199,1990s,D2,False,5.64573,7688.0,51
5217,Eleusis,1956.0,216,239.0,2.875,0.0,7.2837499999999995,7.787940551780393,0.0812032890599204,6.333519934573022,1.4544206172073704,1.5054939157136413,1.2952621706499263,7.628782105222949,Q3b,200-499,200-499,1950s,D4,False,5.66169,7241.0,52
7487,Flutter,1950.0,103,116.0,1.6667,0.0,6.597087378640777,6.888036120347632,0.11759311193156399,5.440759756424734,1.4472763639228976,1.5052309722178894,1.2167938645370322,6.6575536209617665,Q3b,100-199,100-199,1950s,D1,False,5.55207,13125.0,53
1447,1841: Railways in Northern Italy,1994.0,343,375.0,4.3913,0.0,7.872419825072885,8.790623187104979,0.0644396890108413,7.343899083375746,1.4467241037292329,1.4804337553782005,1.320422313267984,8.66432139664373,Q3b,200-499,200-499,1990s,D5,False,5.82505,4571.0,54
34450,Bluff,1973.0,160,168.0,1.0,0.0,6.555625000000001,6.844253694025092,0.0943496958559016,5.400051934765726,1.4442017592593661,1.4805550623604304,1.259276355381799,6.659328290147525,Q3b,100-199,100-199,1970s,D3,False,5.56131,12177.0,55
2919,Search for the Emperor's Treasure,1981.0,193,209.0,1.7619,0.0,6.907564766839378,7.092217458121407,0.08590567237136365,5.651564203631352,1.440653254490055,1.4192994434790638,1.2722781366421823,6.923842340273534,Q3b,100-199,100-199,1980s,D3,False,5.60843,9104.0,56
